batch,accuracy,f1,auc
52,0.96,0.9523809523809523,1.0
53,1.0,1.0,1.0
54,0.96,0.9411764705882353,0.9583333333333333
55,1.0,1.0,1.0
56,1.0,1.0,1.0
57,0.88,0.8571428571428571,0.9577922077922076
58,1.0,1.0,1.0
59,0.96,0.9473684210526315,1.0
60,1.0,1.0,1.0
61,1.0,1.0,1.0
62,0.96,0.9523809523809523,0.9666666666666668
63,1.0,1.0,1.0
64,0.96,0.96,1.0
65,0.92,0.9285714285714286,0.987012987012987
66,0.92,0.9,0.9633333333333334
67,0.96,0.9629629629629629,0.9583333333333333
68,1.0,1.0,1.0
69,0.92,0.9230769230769231,0.9870129870129869
70,0.96,0.9655172413793104,0.9733333333333334
71,0.92,0.8,0.9761904761904762
72,0.96,0.9523809523809523,0.9633333333333334
73,0.92,0.9,0.9433333333333334
74,0.92,0.9,0.987012987012987
75,1.0,1.0,1.0
76,0.96,0.9565217391304348,0.9642857142857142
77,0.88,0.8571428571428571,0.9318181818181818
78,0.96,0.9565217391304348,0.9615384615384615
79,1.0,1.0,1.0
80,0.92,0.8888888888888888,0.9669117647058824
81,0.88,0.88,0.9455128205128206
82,0.96,0.8888888888888888,0.9761904761904762
83,1.0,1.0,1.0
84,0.96,0.9523809523809523,1.0
85,1.0,1.0,1.0
86,0.96,0.9333333333333333,1.0
87,0.92,0.9166666666666666,0.9285714285714285
88,0.96,0.9333333333333333,1.0
89,1.0,1.0,1.0
90,0.96,0.967741935483871,0.9500000000000001
91,0.88,0.8571428571428571,0.8798701298701298
92,0.96,0.9523809523809523,1.0
93,0.96,0.9473684210526315,0.9733333333333333
94,0.96,0.9565217391304348,0.9642857142857143
95,0.96,0.96,0.9807692307692307
96,0.92,0.9333333333333333,0.9479166666666667
97,0.96,0.9333333333333333,0.9722222222222222
98,0.92,0.8571428571428571,0.9473684210526315
99,0.96,0.9565217391304348,1.0
100,0.96,0.9565217391304348,1.0
101,1.0,1.0,1.0
102,0.96,0.96,0.9615384615384616
103,1.0,1.0,1.0
104,0.92,0.8888888888888888,0.9861111111111112
105,1.0,1.0,1.0
106,1.0,1.0,1.0
107,1.0,1.0,1.0
108,0.88,0.88,0.8846153846153847
109,0.96,0.9629629629629629,0.9870129870129869
110,1.0,1.0,1.0
111,0.96,0.9473684210526315,1.0
112,1.0,1.0,1.0
113,0.96,0.9523809523809523,1.0
114,0.96,0.9523809523809523,1.0
115,0.92,0.9166666666666666,0.9545454545454545
116,0.92,0.9333333333333333,0.8961038961038961
117,0.96,0.9473684210526315,0.9333333333333333
118,1.0,1.0,1.0
119,0.96,0.9565217391304348,1.0
120,0.96,0.9655172413793104,0.9545454545454545
121,0.92,0.8888888888888888,0.9338235294117647
122,1.0,1.0,1.0
123,0.92,0.9166666666666666,0.9871794871794871
124,1.0,1.0,1.0
125,1.0,1.0,1.0
126,0.84,0.8181818181818182,0.9551282051282051
127,0.96,0.9655172413793104,1.0
128,0.96,0.9629629629629629,0.9805194805194806
129,0.96,0.9523809523809523,0.987012987012987
130,1.0,1.0,1.0
131,1.0,1.0,1.0
132,1.0,1.0,1.0
133,0.88,0.8421052631578947,0.9866666666666667
134,0.92,0.9166666666666666,0.9391025641025641
135,0.96,0.9565217391304348,1.0
136,0.92,0.9230769230769231,0.9487179487179488
137,1.0,1.0,1.0
138,0.96,0.9629629629629629,0.974025974025974
139,0.92,0.9285714285714286,0.948051948051948
140,0.92,0.9230769230769231,0.9230769230769231
141,1.0,1.0,1.0
142,0.92,0.9090909090909091,0.9935897435897435
143,0.84,0.8333333333333334,0.8571428571428571
144,0.96,0.9523809523809523,0.9666666666666667
145,0.96,0.9629629629629629,1.0
146,1.0,1.0,1.0
147,1.0,1.0,1.0
148,0.96,0.9565217391304348,1.0
149,0.96,0.9333333333333333,0.9926470588235294
150,0.88,0.896551724137931,0.9870129870129869
151,1.0,1.0,1.0
152,0.88,0.8421052631578947,0.9935064935064936
153,1.0,1.0,1.0
154,1.0,1.0,1.0
155,0.88,0.8695652173913043,0.9391025641025642
156,0.92,0.9166666666666666,1.0
