C,l1_ratio,class_weight,Accuracy,F1,AUC
1.0,0.0,,0.9294540943249829,0.91753804292156,0.9794459341651954
0.1,0.0,,0.9285494092826243,0.9163775571915345,0.9791769397915122
10.0,0.0,,0.9295118393805625,0.9176169396555007,0.9794577599005994
1.0,0.5,,0.9294925914918487,0.9175851534129535,0.979451524503513
1.0,1.0,,0.9295503374737205,0.9176528294001578,0.9794572242706238
1.0,0.0,balanced,0.9268459055962823,0.9157894956198949,0.9795310162350124
0.5,0.5,balanced,0.9267689135782812,0.9156877742647825,0.9795275062682812
