C,l1_ratio,class_weight,Accuracy,F1,AUC
1.0,0.0,,0.8638936108949377,0.8419261312766236,0.9155320436389713
0.01,0.0,,0.8636337544396607,0.8416445193341016,0.9155199506122633
0.5,0.5,,0.8639224838858736,0.8419507143895684,0.9155305979829438
1.0,0.25,,0.8638936108949377,0.8419261312766236,0.91553157683738
0.1,0.75,balanced,0.8128657678946105,0.799769570017563,0.9157140705100595
