l1_ratio,class_weight,C,acc_0.5,acc_best_t,best_t,AUC
0,balanced,50,0.9308207576224207,0.9309266245765322,0.51,0.980257909861517
0,balanced,1,0.9307822605481983,0.9308111333538651,0.52,0.9802384930466428
1,balanced,10,0.9307726362796428,0.9308592546966431,0.51,0.980256475134509
